"期間","重貼現率","擔保放款融通利率","短期融通"
"1988M01","4.500","5.500","9.000"
"1988M02","4.500","5.500","9.000"
"1988M03","4.500","5.500","9.000"
"1988M04","4.500","5.500","9.000"
"1988M05","4.500","5.500","9.000"
"1988M06","4.500","5.500","9.000"
"1988M07","4.500","5.500","9.000"
"1988M08","4.500","5.500","9.000"
"1988M09","4.500","5.500","9.000"
"1988M10","4.500","5.500","9.000"
"1988M11","4.500","5.500","9.000"
"1988M12","4.500","5.500","9.000"
"1989M01","4.500","5.500","9.000"
"1989M02","4.500","5.500","9.000"
"1989M03","4.500","5.500","9.000"
"1989M04","5.500","6.500","10.000"
"1989M05","5.500","6.500","10.000"
"1989M06","5.500","6.500","10.000"
"1989M07","5.500","6.500","10.000"
"1989M08","7.750","8.750","12.000"
"1989M09","7.750","8.750","12.000"
"1989M10","7.750","8.750","12.000"
"1989M11","7.750","8.750","12.000"
"1989M12","7.750","8.750","12.000"
"1990M01","7.750","8.750","12.000"
"1990M02","7.750","8.750","12.000"
"1990M03","7.750","8.750","12.000"
"1990M04","7.750","8.750","12.000"
"1990M05","7.750","8.750","12.000"
"1990M06","7.750","8.750","12.000"
"1990M07","7.750","8.750","12.000"
"1990M08","7.750","8.750","12.000"
"1990M09","7.750","8.750","12.000"
"1990M10","7.750","8.750","12.000"
"1990M11","7.750","8.750","12.000"
"1990M12","7.750","8.750","12.000"
"1991M01","7.750","8.750","12.000"
"1991M02","7.750","8.750","12.000"
"1991M03","7.750","8.750","12.000"
"1991M04","7.750","8.750","12.000"
"1991M05","7.750","8.750","12.000"
"1991M06","7.750","8.750","12.000"
"1991M07","7.375","8.375","11.625"
"1991M08","7.375","8.375","11.625"
"1991M09","6.625","7.625","10.875"
"1991M10","6.625","7.625","10.875"
"1991M11","6.250","7.250","10.500"
"1991M12","6.250","7.250","10.500"
"1992M01","5.875","6.875","10.125"
"1992M02","5.875","6.875","10.125"
"1992M03","5.875","6.875","10.125"
"1992M04","5.875","6.875","10.125"
"1992M05","6.125","7.125","10.125"
"1992M06","6.125","7.125","10.125"
"1992M07","6.125","7.125","10.125"
"1992M08","6.125","7.125","10.125"
"1992M09","6.125","7.125","10.125"
"1992M10","5.625","6.625","9.625"
"1992M11","5.625","6.625","9.625"
"1992M12","5.625","6.625","9.625"
"1993M01","5.625","6.625","9.625"
"1993M02","5.625","6.625","9.625"
"1993M03","5.625","6.625","9.625"
"1993M04","5.625","6.625","9.625"
"1993M05","5.625","6.625","9.625"
"1993M06","5.625","6.625","9.625"
"1993M07","5.625","6.125","9.625"
"1993M08","5.625","6.125","9.625"
"1993M09","5.625","6.125","9.625"
"1993M10","5.625","6.125","9.625"
"1993M11","5.500","5.875","9.625"
"1993M12","5.500","5.875","9.625"
"1994M01","5.500","5.875","9.625"
"1994M02","5.500","5.875","9.625"
"1994M03","5.500","5.875","9.625"
"1994M04","5.500","5.875","9.625"
"1994M05","5.500","5.875","9.625"
"1994M06","5.500","5.875","9.625"
"1994M07","5.500","5.875","9.625"
"1994M08","5.500","5.875","9.625"
"1994M09","5.500","5.875","9.625"
"1994M10","5.500","5.875","9.625"
"1994M11","5.500","5.875","9.625"
"1994M12","5.500","5.875","9.625"
"1995M01","5.500","5.875","9.625"
"1995M02","5.800","6.000","9.625"
"1995M03","5.800","6.000","9.625"
"1995M04","5.800","6.000","9.625"
"1995M05","5.800","6.000","9.625"
"1995M06","5.800","6.000","9.625"
"1995M07","5.500","5.875","9.625"
"1995M08","5.500","5.875","9.625"
"1995M09","5.500","5.875","9.625"
"1995M10","5.500","5.875","9.625"
"1995M11","5.500","5.875","9.625"
"1995M12","5.500","5.875","9.625"
"1996M01","5.500","5.875","9.625"
"1996M02","5.500","5.875","9.625"
"1996M03","5.500","5.875","9.625"
"1996M04","5.500","5.875","9.625"
"1996M05","5.250","5.625","9.625"
"1996M06","5.250","5.625","9.625"
"1996M07","5.250","5.625","9.625"
"1996M08","5.000","5.375","9.625"
"1996M09","5.000","5.375","9.625"
"1996M10","5.000","5.375","9.625"
"1996M11","5.000","5.375","9.625"
"1996M12","5.000","5.375","9.625"
"1997M01","5.000","5.375","9.625"
"1997M02","5.000","5.375","9.625"
"1997M03","5.000","5.375","9.625"
"1997M04","5.000","5.375","9.625"
"1997M05","5.000","5.375","9.625"
"1997M06","5.000","5.375","9.625"
"1997M07","5.000","5.375","9.625"
"1997M08","5.250","5.625","9.625"
"1997M09","5.250","5.625","9.625"
"1997M10","5.250","5.625","9.625"
"1997M11","5.250","5.625","9.625"
"1997M12","5.250","5.625","9.625"
"1998M01","5.250","5.625","9.625"
"1998M02","5.250","5.625","9.625"
"1998M03","5.250","5.625","9.625"
"1998M04","5.250","5.625","9.625"
"1998M05","5.250","5.625","9.625"
"1998M06","5.250","5.625","9.625"
